index,Turn,DieRoll,PositionStart,PostionEnd,Game,Tens,Ones
0,1,4,1,5,1,0,5
1,2,5,5,10,1,1,0
2,3,6,10,6,1,0,6
3,4,2,6,8,1,0,8
4,5,2,8,10,1,1,0
5,6,3,10,13,1,1,3
6,7,2,13,15,1,1,5
7,8,1,15,6,1,0,6
8,9,4,6,10,1,1,0
9,10,3,10,13,1,1,3
10,11,3,13,6,1,0,6
11,12,6,6,12,1,1,2
12,13,5,12,17,1,1,7
13,14,6,17,23,1,2,3
14,15,5,23,84,1,8,4
15,16,1,84,85,1,8,5
16,17,4,85,89,1,8,9
17,18,4,89,73,1,7,3
18,19,1,73,74,1,7,4
19,20,6,74,100,1,9,0
0,1,4,1,5,2,0,5
1,2,1,5,6,2,0,6
2,3,2,6,8,2,0,8
3,4,5,8,13,2,1,3
4,5,4,13,17,2,1,7
5,6,5,17,22,2,2,2
6,7,1,22,23,2,2,3
7,8,6,23,29,2,2,9
8,9,3,29,32,2,3,2
9,10,2,32,34,2,3,4
10,11,2,34,44,2,4,4
11,12,2,44,46,2,4,6
12,13,6,46,52,2,5,2
13,14,4,52,53,2,5,3
14,15,3,53,53,2,5,3
15,16,3,53,53,2,5,3
16,17,6,53,59,2,5,9
17,18,1,59,60,2,6,0
18,19,4,60,60,2,6,0
19,20,4,60,60,2,6,0
20,21,6,60,66,2,6,6
21,22,3,66,69,2,6,9
22,23,5,69,74,2,7,4
23,24,1,74,75,2,7,5
24,25,1,75,76,2,7,6
25,26,5,76,81,2,8,1
26,27,3,81,84,2,8,4
27,28,3,84,87,2,8,7
28,29,3,87,90,2,9,0
29,30,1,90,91,2,9,1
30,31,4,91,75,2,7,5
31,32,2,75,77,2,7,7
32,33,2,77,79,2,7,9
33,34,2,79,81,2,8,1
34,35,5,81,86,2,8,6
35,36,2,86,88,2,8,8
36,37,5,88,73,2,7,3
37,38,5,73,78,2,7,8
38,39,6,78,84,2,8,4
39,40,6,84,90,2,9,0
40,41,5,90,75,2,7,5
41,42,1,75,76,2,7,6
42,43,6,76,82,2,8,2
43,44,1,82,83,2,8,3
44,45,6,83,89,2,8,9
45,46,2,89,91,2,9,1
46,47,6,91,97,2,9,7
47,48,3,97,100,2,9,0
0,1,4,1,5,3,0,5
1,2,2,5,7,3,0,7
2,3,1,7,8,3,0,8
3,4,4,8,12,3,1,2
4,5,4,12,6,3,0,6
5,6,3,6,31,3,3,1
6,7,3,31,34,3,3,4
7,8,6,34,40,3,4,0
8,9,3,40,43,3,4,3
9,10,3,43,46,3,4,6
10,11,3,46,11,3,1,1
11,12,5,11,6,3,0,6
12,13,6,6,12,3,1,2
13,14,5,12,17,3,1,7
14,15,3,17,20,3,2,0
15,16,5,20,25,3,2,5
16,17,4,25,29,3,2,9
17,18,4,29,33,3,3,3
18,19,1,33,34,3,3,4
19,20,3,34,37,3,3,7
20,21,2,37,39,3,3,9
21,22,3,39,42,3,4,2
22,23,4,42,46,3,4,6
23,24,5,46,67,3,6,7
24,25,5,67,72,3,7,2
25,26,1,72,73,3,7,3
26,27,1,73,74,3,7,4
27,28,6,74,100,3,9,0
0,1,5,1,6,4,0,6
1,2,5,6,11,4,1,1
2,3,3,11,14,4,1,4
3,4,3,14,17,4,1,7
4,5,3,17,20,4,2,0
5,6,4,20,24,4,2,4
6,7,3,24,27,4,2,7
7,8,3,27,30,4,3,0
8,9,3,30,33,4,3,3
9,10,2,33,35,4,3,5
10,11,5,35,40,4,4,0
11,12,6,40,46,4,4,6
